!SIL	SIL
<UNK>	SPN
ऽRuH	ऽ R u H 
ऽRuS@@	ऽ R u S 
ऽRud@@	ऽ R u d 
ऽRur@@	ऽ R u r 
ऽRut@@	ऽ R u t 
ऽRvA@@	ऽ R v A 
ऽRva@@	ऽ R v a 
ऽS	ऽ S 
ऽSA	ऽ S A 
ऽSA@@	ऽ S A 
ऽSAH	ऽ S A H 
ऽSAM@@	ऽ S A M 
ऽSAMS@@	ऽ S A M S 
ऽSAS@@	ऽ S A S 
ऽSAb@@	ऽ S A b 
ऽSAn@@	ऽ S A n 
ऽSAs@@	ऽ S A s 
ऽSAst@@	ऽ S A s t 
ऽSBA@@	ऽ S B A 
ऽSE	ऽ S E 
ऽSE@@	ऽ S E 
ऽSEk@@	ऽ S E k 
ऽSI	ऽ S I 
ऽSI@@	ऽ S I 
ऽSIr@@	ऽ S I r 
ऽSIt@@	ऽ S I t 
ऽSO	ऽ S O 
ऽSO@@	ऽ S O 
ऽSU@@	ऽ S U 
ऽSUd@@	ऽ S U d 
ऽSUn@@	ऽ S U n 
ऽSa	ऽ S a 
ऽSa@@	ऽ S a 
ऽSaH	ऽ S a H 
ऽSaM@@	ऽ S a M 
ऽSaN@@	ऽ S a N 
ऽSaNk@@	ऽ S a N k 
ऽSaS@@	ऽ S a S 
ऽSab@@	ऽ S a b 
ऽSag	ऽ S a g 
ऽSag@@	ऽ S a g 
ऽSak@@	ऽ S a k 
ऽSam	ऽ S a m 
ऽSam@@	ऽ S a m 
ऽSan@@	ऽ S a n 
ऽSas@@	ऽ S a s 
ऽSat@@	ऽ S a t 
ऽSatr@@	ऽ S a t r 
ऽScAnp@@	ऽ S c A n p 
ऽScE@@	ऽ S c E 
ऽScat@@	ऽ S c a t 
ऽScit@@	ऽ S c i t 
ऽSe	ऽ S e 
ऽSe@@	ऽ S e 
ऽSes@@	ऽ S e s 
ऽSesb@@	ऽ S e s b 
ऽSesk@@	ऽ S e s k 
ऽSesrg@@	ऽ S e s r g 
ऽSf@@	ऽ S f 
ऽSfN@@	ऽ S f N 
ऽSi	ऽ S i 
ऽSi@@	ऽ S i 
ऽSiH	ऽ S i H 
ऽSiN	ऽ S i N 
ऽSiN@@	ऽ S i N 
ऽSiNb@@	ऽ S i N b 
ऽSiS@@	ऽ S i S 
ऽSig@@	ऽ S i g 
ऽSigbrt@@	ऽ S i g b r t 
ऽSigg@@	ऽ S i g g 
ऽSigl@@	ऽ S i g l 
ऽSigs@@	ऽ S i g s 
ऽSik@@	ऽ S i k 
ऽSin	ऽ S i n 
ऽSin@@	ऽ S i n 
ऽSit@@	ऽ S i t 
ऽSiz@@	ऽ S i z 
ऽSlAD@@	ऽ S l A D 
ऽSlI@@	ऽ S l I 
ऽSle@@	ऽ S l e 
ऽSlez@@	ऽ S l e z 
ऽSliz@@	ऽ S l i z 
ऽSlo@@	ऽ S l o 
ऽSmA	ऽ S m A 
ऽSmA@@	ऽ S m A 
ऽSma@@	ऽ S m a 
ऽSmaG@@	ऽ S m a G 
ऽSmaMs@@	ऽ S m a M s 
ऽSman@@	ऽ S m a n 
ऽSmas@@	ऽ S m a s 
ऽSnA@@	ऽ S n A 
ऽSnAm@@	ऽ S n A m 
ऽSnI@@	ऽ S n I 
ऽSna@@	ऽ S n a 
ऽSnan@@	ऽ S n a n 
ऽSnas@@	ऽ S n a s 
ऽSnf@@	ऽ S n f 
ऽSnu@@	ऽ S n u 
ऽSo	ऽ S o 
ऽSo@@	ऽ S o 
ऽSoc@@	ऽ S o c 
ऽSok@@	ऽ S o k 
ऽSoks@@	ऽ S o k s 
ऽSoz@@	ऽ S o z 
ऽSrA@@	ऽ S r A 
ऽSrAd@@	ऽ S r A d 
ऽSrAm@@	ऽ S r A m 
ऽSrI@@	ऽ S r I 
ऽSrIs@@	ऽ S r I s 
ऽSrO@@	ऽ S r O 
ऽSrU@@	ऽ S r U 
ऽSra@@	ऽ S r a 
ऽSrad@@	ऽ S r a d 
ऽSran@@	ऽ S r a n 
ऽSrav@@	ऽ S r a v 
ऽSre@@	ऽ S r e 
ऽSrez@@	ऽ S r e z 
ऽSri@@	ऽ S r i 
ऽSrit@@	ऽ S r i t 
ऽSro@@	ऽ S r o 
ऽSrot@@	ऽ S r o t 
ऽSru	ऽ S r u 
ऽSru@@	ऽ S r u 
ऽSrur@@	ऽ S r u r 
ऽSrut@@	ऽ S r u t 
ऽStu@@	ऽ S t u 
ऽSu	ऽ S u 
ऽSu@@	ऽ S u 
ऽSud@@	ऽ S u d 
ऽSudD@@	ऽ S u d D 
ऽSug@@	ऽ S u g 
ऽSugs@@	ऽ S u g s 
ऽSuk@@	ऽ S u k 
ऽSul@@	ऽ S u l 
ऽSum	ऽ S u m 
ऽSun@@	ऽ S u n 
ऽSvA	ऽ S v A 
ऽSvA@@	ऽ S v A 
ऽSvAH	ऽ S v A H 
ऽSvAMS@@	ऽ S v A M S 
ऽSvAS@@	ऽ S v A S 
ऽSvAm	ऽ S v A m 
ऽSvAn	ऽ S v A n 
ऽSvAn@@	ऽ S v A n 
ऽSvAnn@@	ऽ S v A n n 
ऽSvAnp@@	ऽ S v A n p 
ऽSvAs@@	ऽ S v A s 
ऽSvEr@@	ऽ S v E r 
ऽSvO	ऽ S v O 
ऽSva	ऽ S v a 
ऽSva@@	ऽ S v a 
ऽSvaD@@	ऽ S v a D 
ऽSvaH	ऽ S v a H 
ऽSvaS@@	ऽ S v a S 
ऽSvam	ऽ S v a m 
ऽSvan@@	ऽ S v a n 
ऽSvap@@	ऽ S v a p 
ऽSvas@@	ऽ S v a s 
ऽSvat@@	ऽ S v a t 
ऽSvav@@	ऽ S v a v 
ऽSve	ऽ S v e 
ऽSve@@	ऽ S v e 
ऽSvf@@	ऽ S v f 
ऽSvi	ऽ S v i 
ऽSvi@@	ऽ S v i 
ऽSviB@@	ऽ S v i B 
ऽSvo	ऽ S v o 
ऽSvo@@	ऽ S v o 
ऽSvozw@@	ऽ S v o z w 
ऽSvyam	ऽ S v y a m 
ऽSyA@@	ऽ S y A 
ऽSye@@	ऽ S y e 
ऽTA	ऽ T A 
ऽTA@@	ऽ T A 
ऽTAD@@	ऽ T A D 
ऽTAH	ऽ T A H 
ऽTAN@@	ऽ T A N 
ऽTAR@@	ऽ T A R 
ऽTAS@@	ऽ T A S 
ऽTAb@@	ऽ T A b 
ऽTAc@@	ऽ T A c 
ऽTAd@@	ऽ T A d 
ऽTAdv@@	ऽ T A d v 
ऽTAg@@	ऽ T A g 
ऽTAj@@	ऽ T A j 
ऽTAk@@	ऽ T A k 
ऽTAn@@	ऽ T A n 
ऽTAp@@	ऽ T A p 
ऽTAr@@	ऽ T A r 
ऽTArd@@	ऽ T A r d 
ऽTAs@@	ऽ T A s 
ऽTAt@@	ऽ T A t 
ऽTAtp@@	ऽ T A t p 
ऽTE	ऽ T E 
ऽTE@@	ऽ T E 
ऽTEB@@	ऽ T E B 
ऽTI	ऽ T I 
ऽTIn@@	ऽ T I n 
ऽTO	ऽ T O 
ऽTa	ऽ T a 
ऽTa@@	ऽ T a 
ऽTaH	ऽ T a H 
ऽTaMs@@	ऽ T a M s 
ऽTaS@@	ऽ T a S 
ऽTab@@	ऽ T a b 
ऽTad@@	ऽ T a d 
ऽTaj@@	ऽ T a j 
ऽTak@@	ऽ T a k 
ऽTam	ऽ T a m 
ऽTamH	ऽ T a m H 
ऽTan@@	ऽ T a n 
ऽTap@@	ऽ T a p 
ऽTar@@	ऽ T a r 
ऽTarH	ऽ T a r H 
ऽTarg@@	ऽ T a r g 
ऽTas@@	ऽ T a s 
ऽTast@@	ऽ T a s t 
ऽTat@@	ऽ T a t 
ऽTatp@@	ऽ T a t p 
ऽTav@@	ऽ T a v 
ऽTe	ऽ T e 
ऽTe@@	ऽ T e 
ऽTen@@	ऽ T e n 
ऽTend@@	ऽ T e n d 
ऽTer@@	ऽ T e r 
ऽTet@@	ऽ T e t 
ऽTi	ऽ T i 
ऽTi@@	ऽ T i 
ऽTik@@	ऽ T i k 
ऽTo	ऽ T o 
ऽTo@@	ऽ T o 
ऽToH	ऽ T o H 
ऽTob@@	ऽ T o b 
ऽTokT@@	ऽ T o k T 
ऽTon@@	ऽ T o n 
ऽTor@@	ऽ T o r 
ऽTot@@	ऽ T o t 
ऽTu@@	ऽ T u 
ऽTuc	ऽ T u c 
ऽUrD@@	ऽ U r D 
ऽWac	ऽ W a c 
ऽY	ऽ Y 
ऽYA@@	ऽ Y A 
ऽYCan@@	ऽ Y C a n 
ऽYRin	ऽ Y R i n 
ऽYRin@@	ऽ Y R i n 
ऽYaH	ऽ Y a H 
ऽYan@@	ऽ Y a n 
ऽYca@@	ऽ Y c a 
ऽYi	ऽ Y i 
ऽYja@@	ऽ Y j a 
ऽYjo@@	ऽ Y j o 
ऽYo	ऽ Y o 
ऽYprat@@	ऽ Y p r a t 
ऽYsid@@	ऽ Y s i d 
ऽa@@	ऽ a 
ऽaB@@	ऽ a B 
ऽaD@@	ऽ a D 
ऽaM@@	ऽ a M 
ऽaN@@	ऽ a N 
ऽaR@@	ऽ a R 
ऽaRv@@	ऽ a R v 
ऽaS@@	ऽ a S 
ऽab@@	ऽ a b 
ऽad@@	ऽ a d 
ऽadB@@	ऽ a d B 
ऽag@@	ऽ a g 
ऽaj@@	ऽ a j 
ऽak@@	ऽ a k 
ऽal@@	ऽ a l 
ऽam	ऽ a m 
ऽan@@	ऽ a n 
ऽant@@	ऽ a n t 
ऽap@@	ऽ a p 
ऽaps@@	ऽ a p s 
ऽar@@	ऽ a r 
ऽas@@	ऽ a s 
ऽat@@	ऽ a t 
ऽav@@	ऽ a v 
ऽaz@@	ऽ a z 
ऽbA@@	ऽ b A 
ऽbAD@@	ऽ b A D 
ऽbAh@@	ऽ b A h 
ऽbAn@@	ऽ b A n 
ऽbBak@@	ऽ b B a k 
ऽbDA@@	ऽ b D A 
ऽbDIk@@	ऽ b D I k 
ऽbDO	ऽ b D O 
ऽbDa@@	ऽ b D a 
ऽbDe	ऽ b D e 
ऽbDeH	ऽ b D e H 
ऽbDes	ऽ b D e s 
ऽbDes@@	ऽ b D e s 
ऽbDi@@	ऽ b D i 
ऽbDiH	ऽ b D i H 
ऽbDim	ऽ b D i m 
ऽbI@@	ऽ b I 
ऽbU@@	ऽ b U 
ऽbUt@@	ऽ b U t 
ऽba@@	ऽ b a 
ऽbaD@@	ऽ b a D 
ऽbad@@	ऽ b a d 
ऽbah@@	ऽ b a h 
ऽbal@@	ऽ b a l 
ऽban@@	ऽ b a n 
ऽbar@@	ऽ b a r 
ऽbdA@@	ऽ b d A 
ऽbdAm	ऽ b d A m 
ऽbdAt	ऽ b d A t 
ऽbda@@	ऽ b d a 
ऽbdam	ऽ b d a m 
ऽbde	ऽ b d e 
ऽbdi@@	ऽ b d i 
ऽbe@@	ऽ b e 
ऽbebs@@	ऽ b e b s 
ऽbf	ऽ b f 
ऽbf@@	ऽ b f 
ऽbga@@	ऽ b g a 
ऽbi@@	ऽ b i 
ऽbiB@@	ऽ b i B 
ऽbjA	ऽ b j A 
ऽbjAt	ऽ b j A t 
ऽbjI	ऽ b j I 
ऽbja	ऽ b j a 
ऽbja@@	ऽ b j a 
ऽbjam	ऽ b j a m 
ऽbjap@@	ऽ b j a p 
ऽbjas@@	ऽ b j a s 
ऽbje	ऽ b j e 
ऽbje@@	ऽ b j e 
ऽbjo	ऽ b j o 
ऽbjo@@	ऽ b j o 
ऽbliN@@	ऽ b l i N 
ऽbo@@	ऽ b o 
ऽbrAh@@	ऽ b r A h 
ऽbrU@@	ऽ b r U 
ऽbra	ऽ b r a 
ऽbra@@	ऽ b r a 
ऽbraN@@	ऽ b r a N 
ऽbrah@@	ऽ b r a h 
ऽbral@@	ऽ b r a l 
ऽbras@@	ऽ b r a s 
ऽbrel@@	ऽ b r e l 
ऽbru	ऽ b r u 
ऽbru@@	ऽ b r u 
ऽbu	ऽ b u 
ऽbu@@	ऽ b u 
ऽbuD@@	ऽ b u D 
ऽbuY@@	ऽ b u Y 
ऽbud@@	ऽ b u d 
ऽbya@@	ऽ b y a 
ऽbyed@@	ऽ b y e d 
ऽbyet@@	ऽ b y e t 
ऽbyor@@	ऽ b y o r 
ऽbyu@@	ऽ b y u 
ऽbyuN@@	ऽ b y u N 
ऽc	ऽ c 
ऽcA@@	ऽ c A 
ऽcAk@@	ऽ c A k 
ऽcAm	ऽ c A m 
ऽcAp@@	ऽ c A p 
ऽcAr@@	ऽ c A r 
ऽcCA	ऽ c C A 
ऽcCA@@	ऽ c C A 
ऽcCAc@@	ऽ c C A c 
ऽcCa	ऽ c C a 
ऽcCa@@	ऽ c C a 
ऽcCab@@	ऽ c C a b 
ऽcCan@@	ऽ c C a n 
ऽcCas@@	ऽ c C a s 
ऽcCe@@	ऽ c C e 
ऽcCed@@	ऽ c C e d 
ऽcCi@@	ऽ c C i 
ऽcCid@@	ऽ c C i d 
ऽcCin@@	ऽ c C i n 
ऽcE@@	ऽ c E 
ऽcI@@	ऽ c I 
ऽcO	ऽ c O 
ऽcO@@	ऽ c O 
ऽcUr@@	ऽ c U r 
ऽca	ऽ c a 
ऽca@@	ऽ c a 
ऽcaRq@@	ऽ c a R q 
ऽcaY@@	ऽ c a Y 
ऽcak@@	ऽ c a k 
ऽcakz@@	ऽ c a k z 
ऽcam@@	ऽ c a m 
ऽcan@@	ऽ c a n 
ऽcand@@	ऽ c a n d 
ऽcar@@	ऽ c a r 
ऽcat@@	ऽ c a t 
ऽcaz@@	ऽ c a z 
ऽcca	ऽ c c a 
ऽce@@	ऽ c e 
ऽcet@@	ऽ c e t 
ऽcez@@	ऽ c e z 
ऽci	ऽ c i 
ऽci@@	ऽ c i 
ऽciR@@	ऽ c i R 
ऽcid@@	ऽ c i d 
ऽcik@@	ऽ c i k 
ऽcin@@	ऽ c i n 
ऽcint@@	ऽ c i n t 
ऽcit@@	ऽ c i t 
ऽco@@	ऽ c o 
ऽcpra@@	ऽ c p r a 
ऽcprat@@	ऽ c p r a t 
ऽcsa	ऽ c s a 
ऽcso@@	ऽ c s o 
ऽcta@@	ऽ c t a 
ऽcvyan@@	ऽ c v y a n 
ऽcyA	ऽ c y A 
ऽcya	ऽ c y a 
ऽcya@@	ऽ c y a 
ऽcyan@@	ऽ c y a n 
ऽcyas@@	ऽ c y a s 
ऽcyu@@	ऽ c y u 
ऽdA@@	ऽ d A 
ऽdAB@@	ऽ d A B 
ऽdAd@@	ऽ d A d 
ऽdAj@@	ऽ d A j 
ऽdAl@@	ऽ d A l 
ऽdAn@@	ऽ d A n 
ऽdAt	ऽ d A t 
ऽdAt@@	ऽ d A t 
ऽdAtp@@	ऽ d A t p 
ऽdBa@@	ऽ d B a 
ऽdBi@@	ऽ d B i 
ऽdBiH	ऽ d B i H 
ऽdBiS@@	ऽ d B i S 
ऽdBir@@	ऽ d B i r 
ऽdBirb@@	ऽ d B i r b 
ऽdBu@@	ऽ d B u 
ऽdBya	ऽ d B y a 
ऽdByaH	ऽ d B y a H 
ऽdByo	ऽ d B y o 
ऽdByo@@	ऽ d B y o 
ऽdDA	ऽ d D A 
ऽdDInd@@	ऽ d D I n d 
ऽdDa@@	ऽ d D a 
ऽdDiH	ऽ d D i H 
ऽdDo	ऽ d D o 
ऽdE@@	ऽ d E 
ऽdI@@	ऽ d I 
ऽdIk@@	ऽ d I k 
ऽdIp@@	ऽ d I p 
ऽdIr@@	ऽ d I r 
ऽdO	ऽ d O 
ऽdSin	ऽ d S i n 
ऽdU@@	ऽ d U 
ऽda	ऽ d a 
ऽda@@	ऽ d a 
ऽdaB@@	ऽ d a B 
ऽdaD@@	ऽ d a D 
ऽdaH	ऽ d a H 
ऽdaH@@	ऽ d a H 
ऽdaR@@	ऽ d a R 
ऽdab@@	ऽ d a b 
ऽdak@@	ऽ d a k 
ऽdam@@	ऽ d a m 
ऽdan@@	ऽ d a n 
ऽdant@@	ऽ d a n t 
ऽdar@@	ऽ d a r 
ऽdas@@	ऽ d a s 
ऽdasr@@	ऽ d a s r 
ऽdat@@	ऽ d a t 
ऽdatt@@	ऽ d a t t 
ऽdda@@	ऽ d d a 
ऽde@@	ऽ d e 
ऽdeH	ऽ d e H 
ऽdf@@	ऽ d f 
ऽdfM@@	ऽ d f M 
ऽdfS@@	ऽ d f S 
ऽdfp@@	ऽ d f p 
ऽdfz@@	ऽ d f z 
ऽdfzw@@	ऽ d f z w 
ऽdi	ऽ d i 
ऽdi@@	ऽ d i 
ऽdiN@@	ऽ d i N 
ऽdig@@	ऽ d i g 
ऽdik@@	ऽ d i k 
ऽdip@@	ऽ d i p 
ऽdit@@	ऽ d i t 
ऽdiz@@	ऽ d i z 
ऽdizw@@	ऽ d i z w 
ऽdma@@	ऽ d m a 
ऽdmaS@@	ऽ d m a S 
ऽdni@@	ऽ d n i 
ऽdo	ऽ d o 
ऽdo@@	ऽ d o 
ऽdod@@	ऽ d o d 
ऽdos@@	ऽ d o s 
ऽdrAN@@	ऽ d r A N 
ऽdrAk@@	ऽ d r A k 
ऽdrI@@	ऽ d r I 
ऽdrO	ऽ d r O 
ऽdrUkz@@	ऽ d r U k z 
ऽdra@@	ऽ d r a 
ऽdrak@@	ऽ d r a k 
ऽdrav@@	ऽ d r a v 
ऽdreH	ऽ d r e H 
ऽdrer@@	ऽ d r e r 
ऽdres@@	ऽ d r e s 
ऽdri@@	ऽ d r i 
ऽdriH	ऽ d r i H 
ऽdrim	ऽ d r i m 
ऽdrir@@	ऽ d r i r 
ऽdro@@	ऽ d r o 
ऽdrug@@	ऽ d r u g 
ऽdu	ऽ d u 
ऽdu@@	ऽ d u 
ऽduH@@	ऽ d u H 
ऽdug@@	ऽ d u g 
ऽdugs@@	ऽ d u g s 
ऽduh@@	ऽ d u h 
ऽdul@@	ऽ d u l 
ऽdur@@	ऽ d u r 
ऽdus@@	ऽ d u s 
ऽduz@@	ऽ d u z 
ऽdvA	ऽ d v A 
ऽdvA@@	ऽ d v A 
ऽdvE@@	ऽ d v E 
ऽdvI@@	ऽ d v I 
ऽdvO	ऽ d v O 
ऽdva	ऽ d v a 
ऽdva@@	ऽ d v a 
ऽdvand@@	ऽ d v a n d 
ऽdve	ऽ d v e 
ऽdve@@	ऽ d v e 
ऽdvez@@	ऽ d v e z 
ऽdvi@@	ऽ d v i 
ऽdvir@@	ऽ d v i r 
ऽdviz@@	ऽ d v i z 
ऽdvyA@@	ऽ d v y A 
ऽdvya@@	ऽ d v y a 
ऽdvye@@	ऽ d v y e 
ऽdvyu@@	ऽ d v y u 
ऽdyA	ऽ d y A 
ऽdyA@@	ऽ d y A 
ऽdyAd@@	ऽ d y A d 
ऽdyAg@@	ऽ d y A g 
ऽdyAp@@	ऽ d y A p 
ऽdyAr@@	ऽ d y A r 
ऽdyE@@	ऽ d y E 
ऽdya	ऽ d y a 
ऽdya@@	ऽ d y a 
ऽdyaH	ऽ d y a H 
ऽdyaS@@	ऽ d y a S 
ऽdyam	ऽ d y a m 
ऽdyas@@	ऽ d y a s 
ऽdyat@@	ऽ d y a t 
ऽdyav@@	ऽ d y a v 
ऽdye	ऽ d y e 
ऽdye@@	ऽ d y e 
ऽdyet@@	ऽ d y e t 
ऽdyo	ऽ d y o 
ऽdyo@@	ऽ d y o 
ऽdyod@@	ऽ d y o d 
ऽdyot@@	ऽ d y o t 
ऽdyu@@	ऽ d y u 
ऽe@@	ऽ e 
ऽf@@	ऽ f 
ऽft@@	ऽ f t 
ऽgA@@	ऽ g A 
ऽgAc@@	ऽ g A c 
ऽgAcC@@	ऽ g A c C 
ऽgAd@@	ऽ g A d 
ऽgAn@@	ऽ g A n 
ऽgAr@@	ऽ g A r 
ऽgAt	ऽ g A t 
ऽgAt@@	ऽ g A t 
ऽgAtp@@	ऽ g A t p 
ऽgI@@	ऽ g I 
ऽgO@@	ऽ g O 
ऽgOH	ऽ g O H 
ऽgOR@@	ऽ g O R 
ऽgOp@@	ऽ g O p 
ऽgOr@@	ऽ g O r 
ऽgU@@	ऽ g U 
ऽga	ऽ g a 
ऽga@@	ऽ g a 
ऽgaMs@@	ऽ g a M s 
ऽgaN@@	ऽ g a N 
ऽgaR@@	ऽ g a R 
ऽgac@@	ऽ g a c 
ऽgam	ऽ g a m 
ऽgam@@	ऽ g a m 
ऽgan@@	ऽ g a n 
ऽgap@@	ऽ g a p 
ऽgar@@	ऽ g a r 
ऽgarm@@	ऽ g a r m 
ऽgas@@	ऽ g a s 
ऽgast@@	ऽ g a s t 
ऽgat@@	ऽ g a t 
ऽge	ऽ g e 
ऽge@@	ऽ g e 
ऽgeb@@	ऽ g e b 
ऽgf@@	ऽ g f 
ऽgfD@@	ऽ g f D 
ऽgfd@@	ऽ g f d 
ऽgfh@@	ऽ g f h 
ऽgi	ऽ g i 
ऽgi@@	ऽ g i 
ऽgnA	ऽ g n A 
ऽgnA@@	ऽ g n A 
ऽgnI	ऽ g n I 
ऽgnI@@	ऽ g n I 
ऽgnID@@	ऽ g n I D 
ऽgnIc@@	ऽ g n I c 
ऽgnIn@@	ऽ g n I n 
ऽgnO	ऽ g n O 
ऽgna	ऽ g n a 
ऽgna@@	ऽ g n a 
ऽgne	ऽ g n e 
ऽgne@@	ऽ g n e 
ऽgneH	ऽ g n e H 
ऽgneS@@	ऽ g n e S 
ऽgner@@	ऽ g n e r 
ऽgnerB@@	ऽ g n e r B 
ऽgnerd@@	ऽ g n e r d 
ऽgnerj@@	ऽ g n e r j 
ऽgnerv@@	ऽ g n e r v 
ऽgnes@@	ऽ g n e s 
ऽgni	ऽ g n i 
ऽgni@@	ऽ g n i 
ऽgniB@@	ऽ g n i B 
ऽgniH	ऽ g n i H 
ऽgniS@@	ऽ g n i S 
ऽgnij@@	ऽ g n i j 
ऽgnim	ऽ g n i m 
ऽgnim@@	ऽ g n i m 
ऽgnimp@@	ऽ g n i m p 
ऽgnip@@	ऽ g n i p 
ऽgnir	ऽ g n i r 
ऽgnir@@	ऽ g n i r 
ऽgnirb@@	ऽ g n i r b 
ऽgnirj@@	ऽ g n i r j 
ऽgnis@@	ऽ g n i s 
ऽgnit@@	ऽ g n i t 
ऽgniv@@	ऽ g n i v 
ऽgniz@@	ऽ g n i z 
ऽgnri	ऽ g n r i 
ऽgnyA@@	ऽ g n y A 
ऽgnyAt@@	ऽ g n y A t 
ऽgnya@@	ऽ g n y a 
ऽgnyaM@@	ऽ g n y a M 
ऽgnyak@@	ऽ g n y a k 
ऽgnyan@@	ऽ g n y a n 
ऽgnyar@@	ऽ g n y a r 
ऽgnye	ऽ g n y e 
ऽgnyu@@	ऽ g n y u 
ऽgo@@	ऽ g o 
ऽgot@@	ऽ g o t 
ऽgrA@@	ऽ g r A 
ऽgrAh@@	ऽ g r A h 
ऽgra	ऽ g r a 
ऽgra@@	ऽ g r a 
ऽgraS@@	ऽ g r a S 
ऽgrag@@	ऽ g r a g 
ऽgram	ऽ g r a m 
ऽgran@@	ऽ g r a n 
ऽgras@@	ऽ g r a s 
ऽgre	ऽ g r e 
ऽgre@@	ऽ g r e 
ऽgres@@	ऽ g r e s 
ऽgri@@	ऽ g r i 
ऽgriH	ऽ g r i H 
ऽgrib@@	ऽ g r i b 
ऽgrir@@	ऽ g r i r 
ऽgris@@	ऽ g r i s 
ऽgro	ऽ g r o 
ऽgror@@	ऽ g r o r 
ऽgrorsk@@	ऽ g r o r s k 
ऽgrub@@	ऽ g r u b 
ऽgrus@@	ऽ g r u s 
ऽgrusb@@	ऽ g r u s b 
ऽgryA	ऽ g r y A 
ऽgryA@@	ऽ g r y A 
ऽgryAH	ऽ g r y A H 
ऽgryARs@@	ऽ g r y A R s 
ऽgrya@@	ऽ g r y a 
ऽgryaH	ऽ g r y a H 
ऽgryam	ऽ g r y a m 
ऽgryap@@	ऽ g r y a p 
ऽgrye	ऽ g r y e 
ऽgu@@	ऽ g u 
ऽguH	ऽ g u H 
ऽgur@@	ऽ g u r 
ऽguz@@	ऽ g u z 
ऽgyam	ऽ g y a m 
ऽgyod@@	ऽ g y o d 
ऽgyur@@	ऽ g y u r 
ऽhA	ऽ h A 
ऽhA@@	ऽ h A 
ऽhAn@@	ऽ h A n 
ऽhAr@@	ऽ h A r 
ऽhE@@	ऽ h E 
ऽhFN@@	ऽ h F N 
ऽhI	ऽ h I 
ऽhI@@	ऽ h I 
ऽhO	ऽ h O 
ऽhO@@	ऽ h O 
ऽhRi	ऽ h R i 
ऽhU@@	ऽ h U 
ऽha	ऽ h a 
ऽha@@	ऽ h a 
ऽhaH	ऽ h a H 
ऽhaH@@	ऽ h a H 
ऽhaM@@	ऽ h a M 
ऽhaMS@@	ऽ h a M S 
ऽhaMst@@	ऽ h a M s t 
ऽhaN@@	ऽ h a N 
ऽhaNk@@	ऽ h a N k 
ऽhaS@@	ऽ h a S 
ऽhal@@	ऽ h a l 
ऽham	ऽ h a m 
ऽham@@	ऽ h a m 
ऽhamp@@	ऽ h a m p 
ऽhan	ऽ h a n 
ऽhan@@	ऽ h a n 
ऽhanp@@	ऽ h a n p 
ऽhant@@	ऽ h a n t 
ऽhanv@@	ऽ h a n v 
ऽhap@@	ऽ h a p 
ऽhar@@	ऽ h a r 
ऽhard@@	ऽ h a r d 
ऽharn@@	ऽ h a r n 
ऽhas@@	ऽ h a s 
ऽhast@@	ऽ h a s t 
ऽhat@@	ऽ h a t 
ऽhe@@	ऽ h e 
ऽheH	ऽ h e H 
ऽhf@@	ऽ h f 
ऽhi	ऽ h i 
ऽhi@@	ऽ h i 
ऽhiH	ऽ h i H 
ऽhiM@@	ऽ h i M 
ऽhim	ऽ h i m 
ऽhin@@	ऽ h i n 
ऽhir@@	ऽ h i r 
ऽhit@@	ऽ h i t 
ऽhli	ऽ h l i 
ऽhnA	ऽ h n A 
ऽhnA@@	ऽ h n A 
ऽhnAS@@	ऽ h n A S 
ऽhnAm	ऽ h n A m 
ऽhna	ऽ h n a 
ऽhna@@	ऽ h n a 
ऽhnaH	ऽ h n a H 
ऽhne	ऽ h n e 
ऽhneH	ऽ h n e H 
ऽhni	ऽ h n i 
ऽhni@@	ऽ h n i 
ऽhno	ऽ h n o 
ऽhno@@	ऽ h n o 
ऽhnoH	ऽ h n o H 
ऽhnya@@	ऽ h n y a 
ऽhnyu@@	ऽ h n y u 
ऽho	ऽ h o 
ऽho@@	ऽ h o 
ऽhog@@	ऽ h o g 
ऽhri	ऽ h r i 
ऽhri@@	ऽ h r i 
ऽhu@@	ऽ h u 
ऽhuH	ऽ h u H 
ऽhum	ऽ h u m 
ऽhur@@	ऽ h u r 
ऽhvA@@	ऽ h v A 
ऽhvI@@	ऽ h v I 
ऽhvIH	ऽ h v I H 
ऽhvIr@@	ऽ h v I r 
ऽhvIs@@	ऽ h v I s 
ऽhva@@	ऽ h v a 
ऽhvats@@	ऽ h v a t s 
ऽhya@@	ऽ h y a 
ऽhyas@@	ऽ h y a s 
ऽhye@@	ऽ h y e 
ऽhyo	ऽ h y o 
ऽi	ऽ i 
ऽi@@	ऽ i 
ऽik@@	ऽ i k 
ऽind@@	ऽ i n d 
ऽit@@	ऽ i t 
ऽiz@@	ऽ i z 
ऽizw@@	ऽ i z w 
ऽjA	ऽ j A 
ऽjA@@	ऽ j A 
ऽjAH	ऽ j A H 
ऽjAR@@	ऽ j A R 
ऽjAS@@	ऽ j A S 
ऽjAd@@	ऽ j A d 
ऽjAg@@	ऽ j A g 
ऽjAn	ऽ j A n 
ऽjAt@@	ऽ j A t 
ऽjBak@@	ऽ j B a k 
ऽjE@@	ऽ j E 
ऽjEt	ऽ j E t 
ऽjI@@	ऽ j I 
ऽjIr@@	ऽ j I r 
ऽjJa@@	ऽ j J a 
ऽjJras@@	ऽ j J r a s 
ऽjO	ऽ j O 
ऽjSca	ऽ j S c a 
